Data,Cliques,Impressões,CTR,Posição
2026-06-05,11,652,1.69%,6.6
2026-06-06,7,685,1.02%,7.2
2026-06-07,4,549,0.73%,7.1
2026-06-08,7,643,1.09%,6.6
2026-06-09,6,642,0.93%,6.6
2026-06-10,2,634,0.32%,6.6
2026-06-11,11,679,1.62%,6.7
2026-06-12,9,470,1.91%,6.7
2026-06-13,4,506,0.79%,6.6
2026-06-14,6,541,1.11%,6.8
2026-06-15,11,617,1.78%,6.6
2026-06-16,7,656,1.07%,6.8
2026-06-17,10,652,1.53%,7.7
2026-06-18,5,588,0.85%,6.7
2026-06-19,1,526,0.19%,6.6
2026-06-20,7,584,1.2%,6.6
2026-06-21,5,540,0.93%,6.5
2026-06-22,5,619,0.81%,6.5
2026-06-23,10,594,1.68%,6.3
2026-06-24,12,504,2.38%,6.3
2026-06-25,2,519,0.39%,6.2
2026-06-26,9,549,1.64%,6.2
2026-06-27,7,533,1.31%,6.8
2026-06-28,6,519,1.16%,7
2026-06-29,8,563,1.42%,6.2
2026-06-30,4,587,0.68%,6.6
2026-07-01,6,599,1%,6.6
2026-07-02,8,559,1.43%,6.7
2026-07-03,5,556,0.9%,6.4
2026-07-04,8,575,1.39%,6.4
2026-07-05,4,455,0.88%,7.1
2026-07-06,7,672,1.04%,6.7
2026-07-07,14,768,1.82%,7
2026-07-08,7,620,1.13%,6.8
2026-07-09,5,545,0.92%,6.6
2026-07-10,4,584,0.68%,6.7
2026-07-11,8,590,1.36%,6.8
2026-07-12,6,553,1.08%,7
2026-07-13,9,672,1.34%,6.6
2026-07-14,7,654,1.07%,6.6
2026-07-15,9,563,1.6%,6.9
2026-07-16,9,649,1.39%,6.7
2026-07-17,8,610,1.31%,6.2
2026-07-18,5,545,0.92%,6.4
2026-07-19,5,510,0.98%,7.1
2026-07-20,3,699,0.43%,6.9
2026-07-21,5,604,0.83%,6.6
2026-07-22,4,638,0.63%,6.4
2026-07-23,2,573,0.35%,6.8
2026-07-24,7,583,1.2%,6.3
2026-07-25,6,577,1.04%,6.5
2026-07-26,7,515,1.36%,6.9
2026-07-27,8,620,1.29%,6.7
2026-07-28,9,592,1.52%,6.7
2026-07-29,2,562,0.36%,6.7
2026-07-30,5,578,0.87%,6.6
2026-07-31,13,506,2.57%,6.4
2026-08-01,5,558,0.9%,6.6
2026-08-02,3,463,0.65%,6.5
2026-08-03,4,581,0.69%,6.5
2026-08-04,8,578,1.38%,6.5
2026-08-05,7,582,1.2%,6.3
2026-08-06,9,533,1.69%,6.3
2026-08-07,3,533,0.56%,6.7
2026-08-08,1,500,0.2%,6.8
2026-08-09,6,387,1.55%,6.8
2026-08-10,5,575,0.87%,6.7
2026-08-11,2,534,0.37%,6.7
2026-08-12,7,553,1.27%,6.6
2026-08-13,6,511,1.17%,6.9
2026-08-14,6,490,1.22%,6.8
2026-08-15,3,461,0.65%,6.8
2026-08-16,1,396,0.25%,7
2026-08-17,4,594,0.67%,7.6
2026-08-18,8,540,1.48%,7.1
2026-08-19,5,488,1.02%,6.8
2026-08-20,5,491,1.02%,7
2026-08-21,5,462,1.08%,6.9
2026-08-22,2,486,0.41%,6.8
2026-08-23,5,434,1.15%,7.2
2026-08-24,8,510,1.57%,7
2026-08-25,1,465,0.22%,7
2026-08-26,5,490,1.02%,7.2
2026-08-27,4,448,0.89%,7.1
2026-08-28,6,477,1.26%,6.9
2026-08-29,4,446,0.9%,7.2
2026-08-30,1,391,0.26%,7.1
2026-08-31,4,515,0.78%,6.7
2026-09-01,4,510,0.78%,7
2026-09-02,3,472,0.64%,7.1
2026-09-03,4,417,0.96%,6.7
2026-09-04,6,385,1.56%,7.1
