Páginas principais,Cliques,Impressões,CTR,Posição
https://www.shinecortinas.com/blog/qual-a-altura-ideal-de-uma-cortina/,272,32953,0.83%,6.1
https://www.shinecortinas.com/,80,2051,3.9%,6.76
https://www.shinecortinas.com/blog/7-tipos-de-forro-para-cortina-escolha-o-ideal-para-o-seu-ambiente/,63,7453,0.85%,7.82
https://www.shinecortinas.com/cidades/resende/,33,528,6.25%,4.8
https://www.shinecortinas.com/cidades/volta-redonda/,16,914,1.75%,6.09
https://www.shinecortinas.com/videos/cortina-cabana-chale-vassouras,15,923,1.63%,7.85
https://www.shinecortinas.com/cidades/barra-mansa/,14,335,4.18%,4.8
https://www.shinecortinas.com/blog/bainha-de-cortina/,12,1259,0.95%,7.81
https://www.shinecortinas.com/blog/quantidade-de-tecido-para-cortina-wave/,10,835,1.2%,7.74
https://www.shinecortinas.com/cidades/barra-do-pirai/,6,156,3.85%,5.35
https://www.shinecortinas.com/cidades/vassouras/,5,77,6.49%,4.77
https://www.shinecortinas.com/cidades/valenca/,3,45,6.67%,6.84
https://www.shinecortinas.com/blog/como-escurecer-quarto-sala-tv/,2,288,0.69%,8.55
https://www.shinecortinas.com/portfolio/,2,183,1.09%,6.49
https://www.shinecortinas.com/cidades/miguel-pereira/,2,32,6.25%,4.72
https://www.shinecortinas.com/blog/cortina-ou-persiana-na-cozinha/,1,268,0.37%,7.06
https://www.shinecortinas.com/cortinas/,1,118,0.85%,5.19
https://www.shinecortinas.com/blog/linho-para-cortinas/,1,75,1.33%,4.4
https://www.shinecortinas.com/blog/,1,52,1.92%,7.37
https://www.shinecortinas.com/blog/como-funciona-persiana-motorizada/,1,38,2.63%,7.37
https://www.shinecortinas.com/trilhos-e-acionamentos/,1,10,10%,5.5
https://www.shinecortinas.com/videos/ajuste-bainha-em-casa-alfaiataria,1,9,11.11%,7.89
https://www.shinecortinas.com/cidades/itatiaia/,1,8,12.5%,6.75
https://www.shinecortinas.com/artigo-linho,1,3,33.33%,3
https://www.shinecortinas.com/blog/o-que-e-blackout/,0,2857,0%,10.7
https://www.shinecortinas.com/blog/persiana-vertical-ou-horizontal/,0,58,0%,9.1
https://www.shinecortinas.com/videos/cortina-motorizada-wave-resende,0,34,0%,6.44
https://www.shinecortinas.com/blog/persiana-ideal-para-cada-ambiente/,0,29,0%,7.55
https://www.shinecortinas.com/cortina-motorizada/,0,21,0%,7.33
https://www.shinecortinas.com/cidades/pirai/,0,21,0%,8.38
https://www.shinecortinas.com/blog/quantidade-de-tecido-para-cortina-wave,0,20,0%,8.2
https://www.shinecortinas.com/blog/qual-cortina-escolher-para-sala/,0,20,0%,9.7
https://www.shinecortinas.com/blog/persiana-para-dividir-ambientes/,0,18,0%,5.61
https://www.shinecortinas.com/blog/por-que-escolher-cortina-motorizada/,0,16,0%,7.94
https://www.shinecortinas.com/metodo/,0,11,0%,6.73
https://www.shinecortinas.com/blog/altura-ideal-da-cortina/,0,10,0%,7.9
https://www.shinecortinas.com/faq/,0,10,0%,7.9
https://www.shinecortinas.com/cortina-wave/,0,9,0%,6.11
https://www.shinecortinas.com/cidades-atendidas,0,8,0%,6.38
https://www.shinecortinas.com/cidades/pinheiral/,0,6,0%,7.67
https://www.shinecortinas.com/blackout-e-forros/,0,4,0%,4.5
https://www.shinecortinas.com/cidades/porto-real/,0,4,0%,5.5
https://www.shinecortinas.com/videos/experiencia-tecidos-alfaiataria,0,4,0%,8.25
https://www.shinecortinas.com/videos/persiana-horizontal-madeira-barra-mansa,0,4,0%,10.5
https://www.shinecortinas.com/videos/instalacao-sul-fluminense,0,3,0%,4
https://www.shinecortinas.com/videos/cortina-screen-motorizada-mangaratiba,0,3,0%,6
https://www.shinecortinas.com/videos/,0,3,0%,6.33
https://www.shinecortinas.com/sobre/,0,2,0%,3
https://www.shinecortinas.com/blog/tipos-de-forro-para-cortina/,0,2,0%,8.5
https://www.shinecortinas.com/blog/7-tipos-de-forro-de-cortina-escolha-o-ideal-para-o-seu-ambiente/,0,1,0%,1
https://www.shinecortinas.com/blog/qual-a-altura-ideal-da-cortina/,0,1,0%,1
https://www.shinecortinas.com/cidades/visconde-de-maua/,0,1,0%,4
https://www.shinecortinas.com/cidades/penedo/,0,1,0%,5
https://www.shinecortinas.com/videos/ajuste-bainha-em-casa-alfaiataria.html,0,1,0%,9
https://www.shinecortinas.com/videos/cortina-wave-linho-barra-do-pirai,0,1,0%,10
https://www.shinecortinas.com/cidades/paulo-de-frontin/,0,1,0%,21
