País,Cliques,Impressões,CTR,Posição
Brasil,471,47816,0.99%,6.72
Portugal,61,1861,3.28%,6.09
Estados Unidos,4,402,1%,6.91
Moçambique,1,92,1.09%,5.12
Suíça,1,30,3.33%,5.03
Países Baixos,1,13,7.69%,7.15
Austrália,1,8,12.5%,6.62
Luxemburgo,1,3,33.33%,8
Angola,0,108,0%,6.05
Espanha,0,45,0%,25.58
Cabo Verde,0,33,0%,5.33
Canadá,0,32,0%,5.75
Paraguai,0,27,0%,6.3
Itália,0,26,0%,6.27
Reino Unido,0,22,0%,11.73
França,0,20,0%,6.7
Alemanha,0,18,0%,6.72
Japão,0,13,0%,5.69
Irlanda,0,13,0%,7.15
Bélgica,0,12,0%,5.25
Argentina,0,12,0%,12.92
México,0,10,0%,16
Vietnã,0,9,0%,9.67
Coréia do Sul,0,8,0%,8.62
China,0,7,0%,6.71
Índia,0,7,0%,14.57
Filipinas,0,5,0%,24.2
Indonésia,0,5,0%,24.4
África do Sul,0,4,0%,5.5
Chile,0,4,0%,33
Emirados Árabes Unidos,0,3,0%,3.67
Dinamarca,0,3,0%,4.33
Áustria,0,3,0%,5.33
Nepal,0,3,0%,7.67
São Tomé e Príncipe,0,3,0%,7.67
Arábia Saudita,0,3,0%,9.67
Uruguai,0,3,0%,11.67
Argélia,0,3,0%,15.33
Paquistão,0,3,0%,19
Rússia,0,3,0%,30.33
Israel,0,2,0%,2.5
Suécia,0,2,0%,5.5
Costa Rica,0,2,0%,6
Equador,0,2,0%,6
Malásia,0,2,0%,8.5
Guiné-Bissau,0,2,0%,9
Bulgária,0,2,0%,11.5
Ucrânia,0,2,0%,18
Albânia,0,1,0%,1
Nigéria,0,1,0%,1
Polônia,0,1,0%,2
República Dominicana,0,1,0%,3
Estônia,0,1,0%,3
Peru,0,1,0%,3
Quênia,0,1,0%,4
Cazaquistão,0,1,0%,5
Letônia,0,1,0%,9
Namíbia,0,1,0%,9
Venezuela,0,1,0%,9
Iêmen,0,1,0%,9
Gana,0,1,0%,10
Marrocos,0,1,0%,10
Noruega,0,1,0%,10
Grécia,0,1,0%,11
Camboja,0,1,0%,11
Nova Zelândia,0,1,0%,11
Turquia,0,1,0%,11
Colômbia,0,1,0%,12
Bangladesh,0,1,0%,30
Guatemala,0,1,0%,48
